pmid,title,year,journal,doi,content_sha256,drive_file_id,drive_filename_citation,metadata_patched
local_44b58f21,ANN and SVM Classifiers in Identifying Autism Spectrum Disorder Gait Based on Three-Dimensional Ground Reaction Forces,2018,TENCON 2018 - 2018 IEEE Region 10 Confere,10.1109/tencon.2018.8650468,a21465a82d97e41db62bc3841c1aa8c7737a4c6a6f9b8758e8964d1e4fe3947d,1gunV1wYhxZKwWpjanlUgf_3cH9EK6EmI,"Hasan, C. Z. C., Jailani, R., & Tahir, N. M. (2018). ANN and SVM Classifiers in Identifying Autism Spectrum Disorder Gait Based on Three-Dimensional Ground Reaction Forces. In TENCON 2018 - 2018 IEEE Region 10 Conference (pp. 2436-2440). IEEE. https://doi.org/10.1109/tencon.2018.8650468",doi_filled
local_cb9a5b48,Analyzing Human-Robot Interaction Using Machine Vision for Autism screening,2018,2018 6th RSI International Conference on Robotics and Mechatronics (IcRoM),10.1109/icrom.2018.8657569,668000f15884e460ea7820cdb2b881ed1bbbb47914a816f4b37fc7253a6ff7f4,1FpEHliIxtygYkPYGpTGd49LMNPWzGpas,"Moghadas, M., & Moradi, H. (2018). Analyzing Human-Robot Interaction Using Machine Vision for Autism screening. In 2018 6th RSI International Conference on Robotics and Mechatronics (IcRoM) (pp. 572-576). IEEE. https://doi.org/10.1109/icrom.2018.8657569",doi_filled
local_40cd7d53,Applying Eye Tracking to Identify Autism Spectrum Disorder in Children,2018,Journal of Autism and Dev,10.1007/s10803-018-3690-y,ff1aec63e1295420af6c8b1996f43caebaa69b67c284c832041bc6bb33ead769,1IuQTaurgW2Hb2UnuM-AymJsw8fUgIcit,"Wan, G., Kong, X., Sun, B., Yu, S., Tu, Y., Park, J., Lang, C., Koh, M., Wei, Z., Feng, Z., Lin, Y., & Kong, J. (2018). Applying Eye Tracking to Identify Autism Spectrum Disorder in Children. Journal of Autism and Developmental Disorders, 49(1), 209-215. https://doi.org/10.1007/s10803-018-3690-y",
local_5b1d0b36,Automatic Autism Spectrum Disorder Detection Using Everyday,2018,Proceedings of the 2018 ACM Interna,10.1145/3233547.3233574,a206f02165652444a1e5048fc7e9d931ee830ab432468330d14e211f0e541956,1sv0R_nXzTKGn0zqEZixubWIlaix7Dz8d,"Gong, Y., Yatawatte, H., Poellabauer, C., Schneider, S., & Latham, S. (2018). Automatic Autism Spectrum Disorder Detection Using Everyday Vocalizations Captured by Smart Devices. In Proceedings of the 2018 ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics (pp. 465-473). ACM. https://doi.org/10.1145/3233547.3233574",
local_54954c19,Detecting Autism Based on Eye-Tracking Data from Web Searching,2018,Proceedings of the 15th International Web for All Conference,10.1145/3192714.3192819,8fe31cc61d0a0f751464c9356a37da906444e0bc3e232f8e1be288553c7b3d51,1KEhHrY7c6QnSt_HHcETd8EKJs4FcJxZf,"Yaneva, V., Ha, L. A., Eraslan, S., Yesilada, Y., & Mitkov, R. (2018). Detecting autism based on eye-tracking data from web searching tasks. In Proceedings of the 15th International Web for All Conference (pp. 1-10). ACM. https://doi.org/10.1145/3192714.3192819",
local_d8dc996a,Video Gesture Analysis for Autism Spectrum Disorder Detection,2018,2018 24th International C,10.1109/icpr.2018.8545095,fc3eb87b0023eac187fb7c95a25cba089e6d2bcad91e98db0d9ace6f8e8c58f1,1gdakqM4ZGTMXgFV92WlfLwCOKOFNGPPD,"Zunino, A., Morerio, P., Cavallo, A., Ansuini, C., Podda, J., Battaglia, F., Veneselli, E., Becchio, C., & Murino, V. (2018). Video Gesture Analysis for Autism Spectrum Disorder Detection. In 2018 24th International Conference on Pattern Recognition (ICPR) (pp. 3421-3426). IEEE. https://doi.org/10.1109/icpr.2018.8545095",doi_filled
local_88ddfdd1,A Novel Eye Movement Data Transformation Technique that Preserves Temporal Information: A Demonstration in a Face Processing Task,2019,"Sensors, 19(10), Article 2377",10.3390/s19102377,3ec8e5af936fa685535caa6edd8b80613812610eb03259e5be51163245504a34,1gPQKzpowN11bhAhKGLlUWNUB_V7w0EQB,"Król, M., & Król, M. E. (2019). A Novel Eye Movement Data Transformation Technique that Preserves Temporal Information: A Demonstration in a Face Processing Task. Sensors, 19(10), Article 2377. https://doi.org/10.3390/s19102377",doi_filled
local_361110f1,Applying Machine Learning to Identify Autism With Restricted Kinematic Features,2019,"IEEE Access, 7, 157614-157622",10.1109/access.2019.2950030,3f8de49f6385439d7248da9d6419cb208bf41046ad58b0663e005c16895786fa,1HGKPq65h0iKFdeFXZqz-25wjdpxsBPWW,"Zhao, Z., Zhang, X., Li, W., Hu, X., Qu, X., Cao, X., Liu, Y., & Lu, J. (2019). Applying Machine Learning to Identify Autism with Restricted Kinematic Features. IEEE Access, 7, 157614-157622. https://doi.org/10.1109/access.2019.2950030",doi_filled
local_51533de4,Automatic Detection of Autism Spectrum Disorder in Children Using Acoustic and Text Features from Brief Natural Conversations,2019,In,10.21437/interspeech.2019-1452,6ff3f8dd98b5a271af8caed5fdc2fb3f133799fbac5500916e8548f3b3161e2a,1ICg51m4SChPamZbwrs8Chv8hutYaQESY,"Cho, S., Liberman, M., Ryant, N., Cola, M., Schultz, R. T., & Parish-Morris, J. (2019). Automatic detection of autism spectrum disorder in children using acoustic and text features from brief natural conversations. In Interspeech 2019 (pp. 2513-2517). ISCA. https://doi.org/10.21437/interspeech.2019-1452",doi_filled
local_96c87d36,Classifying Individuals with ASD Through Facial Emotion Recognition and Eye-Tracking,2019,2019 41st Annual International Conference of,10.1109/embc.2019.8857005,0eb92c54c0fab29a0d339ce167e8d9b65cfe7ec04bcf00fd520ac7c5d9f77c85,1HLa2NEZl-Wvinb6JbTiplwMzkvrJHkqg,"Jiang, M., Francis, S. M., Srishyla, D., Conelea, C., Zhao, Q., & Jacob, S. (2019). Classifying Individuals with ASD Through Facial Emotion Recognition and Eye-Tracking. In 2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC) (pp. 6063-6068). IEEE. https://doi.org/10.1109/embc.2019.8857005",doi_filled
